year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2015,2015-01-01,2015-12-31,ME,Maine,Northeast,New England,1329100,49331,FALSE
2015,2015-01-01,2015-12-31,MD,Maryland,South,South Atlantic,5930538,74551,FALSE
2015,2015-01-01,2015-12-31,MA,Massachusetts,Northeast,New England,6705586,68563,FALSE
2015,2015-01-01,2015-12-31,MI,Michigan,North Central,East North Central,9900571,49576,FALSE
2015,2015-01-01,2015-12-31,MN,Minnesota,North Central,West North Central,5419171,61492,FALSE
2015,2015-01-01,2015-12-31,MS,Mississippi,South,East South Central,2988081,39665,FALSE
2015,2015-01-01,2015-12-31,MO,Missouri,North Central,West North Central,6045448,48173,FALSE
2015,2015-01-01,2015-12-31,MT,Montana,West,Mountain,1014699,47169,FALSE
2015,2015-01-01,2015-12-31,NE,Nebraska,North Central,West North Central,1869365,52997,FALSE
2015,2015-01-01,2015-12-31,NV,Nevada,West,Mountain,2798636,51847,FALSE
2015,2015-01-01,2015-12-31,NH,New Hampshire,Northeast,New England,1324201,66779,FALSE
2015,2015-01-01,2015-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8904413,72093,FALSE
2015,2015-01-01,2015-12-31,NM,New Mexico,West,Mountain,2084117,44963,FALSE
2015,2015-01-01,2015-12-31,NY,New York,Northeast,Middle Atlantic,19673174,59269,FALSE
2015,2015-01-01,2015-12-31,NC,North Carolina,South,South Atlantic,9845333,46868,FALSE
2015,2015-01-01,2015-12-31,ND,North Dakota,North Central,West North Central,721640,57181,FALSE
2015,2015-01-01,2015-12-31,OH,Ohio,North Central,East North Central,11575977,49429,FALSE
2015,2015-01-01,2015-12-31,OK,Oklahoma,South,West South Central,3849733,46879,FALSE
2015,2015-01-01,2015-12-31,OR,Oregon,West,Pacific,3939233,51243,FALSE
2015,2015-01-01,2015-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12779559,53599,FALSE
2015,2015-01-01,2015-12-31,RI,Rhode Island,Northeast,New England,1053661,56852,FALSE
2015,2015-01-01,2015-12-31,SC,South Carolina,South,South Atlantic,4777576,45483,FALSE
2015,2015-01-01,2015-12-31,SD,South Dakota,North Central,West North Central,843190,50957,FALSE
2015,2015-01-01,2015-12-31,TN,Tennessee,South,East South Central,6499615,45219,FALSE
